species	fc	auroc	p.val	p.adj
K17742	0.09973267217069867	0.5489922292374939	0.005280012098063613	0.014563972344000016
K17743	0.0323127372428029	0.5151894123360855	0.33045019163489386	0.42073163803706476
K17744	0.07389720194621262	0.5381070908207868	0.26269649604308465	0.3494501364801495
K17751	-0.07519696074956078	0.44251457017969886	0.03062501522190812	0.05976987146473972
K17752	0.16649741694603568	0.645726080621661	7.024794079768526e-10	7.164389346738285e-8
K17754	0.02603787019819745	0.5136898980087421	0.5119904540905384	0.5992178994100681
K17756	0.19873960331909707	0.5445726080621661	0.007348697675188864	0.018943256644888988
K17757	-0.08909769724507322	0.46997935891209325	0.23366608422536003	0.31736617722600974
K17758	-0.017785420798804828	0.42775012141816415	0.019319408797791187	0.04134064155154386
K17759	-0.017827953128515272	0.4277622632345799	0.019329360603471544	0.041345808981074525
K17768	-0.11068028653952797	0.41835235551238464	0.0020150566122649582	0.0068650001501360785
K17785	-0.07795324110190922	0.4625364254492472	0.41418768358052366	0.5044959459321797
K17792	0.08931540764269988	0.5397158814958718	0.03830475717652915	0.07142858493654228
K17800	6.423950019239066e-4	0.49442690626517727	0.9345010676851304	0.9513637053282842
K17804	-0.003691597169790419	0.4936680427391938	0.8602309503664096	0.8945299489247109
K17807	-0.1947059446856211	0.4389327343370568	0.0018131916112509667	0.006315209836909562
K17808	-0.11060570819881979	0.4242047110247693	0.003777181672152987	0.011279084159901281
K17810	-6.806272740492586e-4	0.4901469159786304	0.7611996791090865	0.8143957264088504
K17816	0.026669414866093137	0.5192447790189413	0.5652697819149894	0.6471964759835551
K17817	-0.36097513953107274	0.40568844099077217	1.5261835108119174e-4	9.574755385259309e-4
K17818	0.021733278284242315	0.5084932005828072	0.3906835903071162	0.4816190858349774
K17820	-0.03461756223644843	0.4641209324915007	3.7707879274923545e-5	3.1084578200209e-4
K17828	-0.023797118228265364	0.41683462846041763	0.004756239327311887	0.013479117865609569
K17829	0.008065182700061763	0.5056884409907721	0.5432304659124492	0.6272473320835391
K17830	0.23334472485345673	0.5498178727537639	0.00331639208428558	0.010182130077380079
K17834	0.12047161255775218	0.5576736279747451	0.00849534084867587	0.02127396418375635
K17835	0.0350521924337114	0.5229176784847014	0.20115810101243436	0.2807883301551001
K17836	3.8251470609635926e-4	0.47410757649344343	0.8381758697189019	0.8772120830961538
K17837	-0.04564087058860523	0.45074672170956775	0.07555720426882835	0.12515871927687533
K17838	0.2261952067677736	0.594396551724138	5.354656317184681e-4	0.0025324786565519702
K17850	0.026703940336982285	0.5197668771248178	0.10297876720178167	0.16089515872974094
K17865	0.09868125717507427	0.5925631374453618	3.216480166146063e-5	2.7365882055285486e-4
K17866	-0.22623881509880592	0.40377610490529386	3.1172450101332066e-4	0.0016687539741325477
K17867	0	0.5035939776590578	0.46167129525571604	0.5509506598753868
K17868	-0.028657263503560102	0.4739193783389995	0.04733514941352781	0.08461822777182332
K17869	-0.07800925849766137	0.4672778047595921	0.13424476856868064	0.2009201593930326
K17870	0.07527144563626331	0.5458657115104419	0.10206590247043268	0.15973524575099193
K17877	0.024641987352644158	0.5370750364254493	0.03202397000798585	0.0618777462748427
K17878	0.021971661019668277	0.5137931034482759	0.36958343167651986	0.46045985888593816
